id,type,subtype,locality,price,sale type,number of bedrooms,living room area,kitchen status,furnished,fireplace,terrace,terrace area,garden,garden area,total property area,total land area,facades,swimming pool,current state
10655069,HOUSE,APARTMENT_BLOCK,Beersel,395000,residential_sale,2,0,SEMI_EQUIPPED,,True,True,,,,164,240,3.0,,TO_BE_DONE_UP
10657599,HOUSE,HOUSE,Ghent,425000,residential_sale,3,0,0,,False,True,12.0,,,127,52,2.0,False,GOOD
10623016,HOUSE,HOUSE,Esneux Tilff,150000,residential_sale,2,10,SEMI_EQUIPPED,False,False,True,36.0,True,315.0,139,413,3.0,False,TO_BE_DONE_UP
10630049,HOUSE,HOUSE,Braine-l'Alleud,860000,residential_sale,3,62,USA_HYPER_EQUIPPED,,False,True,33.0,True,1246.0,355,1441,4.0,False,GOOD
10644585,HOUSE,HOUSE,Tervuren,495000,residential_sale,3,0,INSTALLED,,True,True,10.0,True,65.0,110,124,2.0,,JUST_RENOVATED
10658695,HOUSE,HOUSE,Woluwe-Saint-Pierre,525000,residential_sale,3,14,USA_HYPER_EQUIPPED,False,False,True,40.0,,,106,112,2.0,False,AS_NEW
10526669,HOUSE,HOUSE,Liege,249000,residential_sale,4,15,SEMI_EQUIPPED,False,False,True,33.0,True,60.0,242,163,2.0,False,GOOD
10655537,HOUSE,MIXED_USE_BUILDING,Gent,495000,residential_sale,6,90,SEMI_EQUIPPED,,True,True,6.0,,,295,365,3.0,,TO_RESTORE
10656932,HOUSE,BUNGALOW,Beersel,529000,residential_sale,3,32,HYPER_EQUIPPED,False,False,True,15.0,True,310.0,146,530,4.0,False,GOOD
10514348,HOUSE,HOUSE,Temse,399000,residential_sale,5,0,INSTALLED,,False,True,12.0,True,40.0,284,222,2.0,False,AS_NEW
10577846,HOUSE,HOUSE,Andenne,335000,residential_sale,4,0,INSTALLED,,True,True,,True,,209,2185,4.0,,GOOD
10622631,HOUSE,HOUSE,Hannut,150000,residential_sale,2,27,SEMI_EQUIPPED,False,False,True,13.0,True,56.0,80,222,3.0,False,TO_BE_DONE_UP
10659950,HOUSE,HOUSE,Wezembeek-Oppem,648000,residential_sale,4,25,HYPER_EQUIPPED,False,False,True,20.0,True,30.0,231,162,2.0,,AS_NEW
10644403,HOUSE,MANSION,Ixelles,845000,residential_sale,5,29,USA_INSTALLED,False,False,True,19.0,True,273.0,490,415,2.0,False,GOOD
10641115,HOUSE,HOUSE,Liège Angleur,169000,residential_sale,2,27,INSTALLED,False,False,True,10.0,True,50.0,70,114,2.0,False,AS_NEW
10658229,HOUSE,HOUSE,Mechelen,535000,residential_sale,3,30,0,,True,True,9.0,,,209,64,3.0,,TO_RENOVATE
10617808,HOUSE,HOUSE,Anderlecht,400000,residential_sale,3,30,HYPER_EQUIPPED,False,False,,,True,70.0,180,154,3.0,False,GOOD
10533139,HOUSE,HOUSE,Vivegnis,249000,residential_sale,3,26,SEMI_EQUIPPED,,True,True,7.0,True,149.0,150,265,2.0,False,TO_BE_DONE_UP
10654079,HOUSE,HOUSE,Rixensart,735000,residential_sale,4,55,HYPER_EQUIPPED,False,False,True,,True,2000.0,225,3700,4.0,False,GOOD
10639263,HOUSE,APARTMENT_BLOCK,Seraing,99000,residential_sale,2,15,NOT_INSTALLED,False,False,True,25.0,True,68.0,115,155,2.0,False,TO_RENOVATE
10657189,HOUSE,HOUSE,Ixelles,995000,residential_sale,5,50,HYPER_EQUIPPED,False,True,True,20.0,True,,235,81,2.0,,GOOD
10354018,HOUSE,HOUSE,Glabbeek,339000,residential_sale,4,25,INSTALLED,False,False,True,25.0,True,2500.0,130,3250,4.0,False,TO_RENOVATE
10522057,HOUSE,HOUSE,Sprimont,160000,residential_sale,1,16,NOT_INSTALLED,False,False,True,,True,140.0,70,259,3.0,False,TO_RENOVATE
10642080,HOUSE,HOUSE,Bouge,210000,residential_sale,2,45,INSTALLED,,True,,,True,85.0,83,166,3.0,,TO_BE_DONE_UP
10649333,HOUSE,HOUSE,Gembloux,260000,residential_sale,4,27,INSTALLED,,True,,,True,673.0,161,875,2.0,,GOOD
10485981,HOUSE,HOUSE,Villers-la-Ville,250000,residential_sale,2,16,INSTALLED,,False,True,6.0,True,296.0,106,388,3.0,,TO_RENOVATE
10648897,HOUSE,HOUSE,Remicourt,280000,residential_sale,4,34,INSTALLED,False,False,True,35.0,True,200.0,205,456,3.0,False,GOOD
10654936,HOUSE,APARTMENT_BLOCK,Ixelles,845000,residential_sale,5,29,USA_INSTALLED,False,False,True,19.0,True,273.0,490,415,2.0,False,GOOD
10608408,HOUSE,HOUSE,Dilbeek,405000,residential_sale,3,25,SEMI_EQUIPPED,,False,True,,True,684.0,134,684,4.0,False,TO_BE_DONE_UP
10576317,HOUSE,HOUSE,Herstal,164000,residential_sale,4,25,INSTALLED,False,False,True,80.0,,,167,90,3.0,False,GOOD
10655029,HOUSE,TOWN_HOUSE,Liège,199000,residential_sale,2,33,HYPER_EQUIPPED,False,False,,,,,113,262,2.0,False,GOOD
10641651,HOUSE,HOUSE,Bassenge,279000,residential_sale,3,42,INSTALLED,False,False,True,64.0,True,160.0,194,165,3.0,False,GOOD
10539238,HOUSE,MANSION,Tienen,345000,residential_sale,4,36,INSTALLED,,False,,,True,88.0,190,156,2.0,False,AS_NEW
10641552,HOUSE,HOUSE,Waremme,300000,residential_sale,3,29,,False,False,True,20.0,True,500.0,120,771,3.0,False,GOOD
10340836,HOUSE,MIXED_USE_BUILDING,LIEGE,255000,residential_sale,2,42,SEMI_EQUIPPED,False,False,,,True,64.0,110,134,2.0,False,GOOD
10649661,HOUSE,COUNTRY_COTTAGE,Villers-la-Ville,350000,residential_sale,4,36,SEMI_EQUIPPED,,True,True,,True,,272,920,3.0,,TO_RENOVATE
10648597,HOUSE,HOUSE,Dilbeek,349000,residential_sale,2,24,INSTALLED,,False,True,,,,215,244,3.0,False,TO_BE_DONE_UP
10639091,HOUSE,HOUSE,Fernelmont,425000,residential_sale,3,35,INSTALLED,False,False,True,50.0,True,675.0,165,1120,4.0,False,AS_NEW
10653912,HOUSE,VILLA,Woluwe-Saint-Pierre,1050000,residential_sale,4,45,HYPER_EQUIPPED,False,False,True,12.0,True,300.0,210,592,4.0,False,AS_NEW
10542259,HOUSE,HOUSE,Molenbeek-Saint-Jean,408759,residential_sale,5,27,INSTALLED,False,False,True,35.0,True,190.0,190,300,2.0,False,GOOD
10607434,HOUSE,MIXED_USE_BUILDING,Antwerp,165000,residential_sale,2,0,INSTALLED,,True,,,,,61,60,3.0,,JUST_RENOVATED
10581278,HOUSE,HOUSE,Leuven,348000,residential_sale,3,14,HYPER_EQUIPPED,False,False,True,6.0,,,116,55,2.0,False,GOOD
10563785,HOUSE,HOUSE,Donceel,400000,residential_sale,4,40,INSTALLED,False,False,True,120.0,True,850.0,330,1570,4.0,False,GOOD
10571609,HOUSE,HOUSE,Noiseux,259000,residential_sale,3,0,INSTALLED,,False,True,61.0,True,431.0,180,542,2.0,False,GOOD
10472348,HOUSE,VILLA,Liege,620000,residential_sale,7,0,INSTALLED,False,False,True,,,,423,730,4.0,False,TO_BE_DONE_UP
10639853,HOUSE,VILLA,Bertem,510000,residential_sale,3,0,HYPER_EQUIPPED,,True,True,24.0,True,550.0,168,702,4.0,False,GOOD
10280209,HOUSE,MIXED_USE_BUILDING,Braine-l'Alleud,345000,residential_sale,3,24,USA_INSTALLED,False,False,True,9.0,True,10.0,291,140,2.0,False,GOOD
10649662,HOUSE,HOUSE,Nivelles,368000,residential_sale,3,22,SEMI_EQUIPPED,False,True,True,7.0,True,,221,489,4.0,,TO_RENOVATE
10657382,HOUSE,VILLA,Eeklo,469000,residential_sale,4,44,INSTALLED,False,False,True,93.0,True,187.0,211,600,4.0,True,GOOD
10572508,HOUSE,VILLA,Ronse,419000,residential_sale,5,21,INSTALLED,False,False,True,20.0,True,850.0,202,1541,4.0,False,GOOD
10566195,HOUSE,HOUSE,Galmaarden,349000,residential_sale,3,0,SEMI_EQUIPPED,,True,,,,,160,1330,3.0,,TO_BE_DONE_UP
10592464,HOUSE,HOUSE,Nivelles,175000,residential_sale,4,33,SEMI_EQUIPPED,,True,,,True,50.0,120,105,2.0,,TO_RENOVATE
10655439,HOUSE,HOUSE,ISNES,450000,residential_sale,4,73,USA_HYPER_EQUIPPED,,True,,,True,600.0,157,924,4.0,,GOOD
10613569,HOUSE,HOUSE,Erpe-Mere,259000,residential_sale,3,35,INSTALLED,,False,True,,,,200,350,2.0,False,GOOD
10640101,HOUSE,HOUSE,DION-LE-VAL,620000,residential_sale,4,58,INSTALLED,,True,True,32.0,True,630.0,222,953,4.0,,AS_NEW
10653691,HOUSE,HOUSE,Molenbeek-Saint-Jean,720000,residential_sale,6,26,HYPER_EQUIPPED,False,False,True,4.0,,,212,155,2.0,,GOOD
10649663,HOUSE,HOUSE,Nivelles,478000,residential_sale,3,22,SEMI_EQUIPPED,,True,True,7.0,True,,221,952,4.0,,TO_RENOVATE
10641933,HOUSE,HOUSE,Huizingen,379000,residential_sale,3,21,INSTALLED,,True,True,,,,118,251,3.0,,GOOD
10661232,HOUSE,HOUSE,Nieuwpoort,448000,residential_sale,3,29,USA_INSTALLED,False,False,True,,,,225,781,3.0,False,TO_RENOVATE
10459282,HOUSE,HOUSE,Seraing,179000,residential_sale,3,27,INSTALLED,False,False,True,13.0,True,65.0,82,128,2.0,False,JUST_RENOVATED
10555241,HOUSE,BUNGALOW,Steenokkerzeel,425000,residential_sale,3,21,USA_INSTALLED,False,False,True,24.0,True,260.0,140,800,4.0,False,TO_BE_DONE_UP
10497893,HOUSE,HOUSE,ANTHEIT,259500,residential_sale,4,24,INSTALLED,,True,True,15.0,True,2700.0,254,2850,4.0,,GOOD
10578809,HOUSE,HOUSE,Liedekerke,349000,residential_sale,3,32,HYPER_EQUIPPED,False,False,True,25.0,True,150.0,180,256,2.0,,AS_NEW
10638880,HOUSE,HOUSE,Antwerp,910000,residential_sale,5,0,USA_HYPER_EQUIPPED,,False,True,18.0,True,131.0,310,242,2.0,,GOOD
10654294,HOUSE,HOUSE,Oupeye Heure-le-Romain,499000,residential_sale,6,40,HYPER_EQUIPPED,False,False,True,50.0,True,1352.0,235,1713,4.0,False,AS_NEW
10662010,HOUSE,HOUSE,Neufchâteau,210000,residential_sale,4,0,,False,False,True,,,,157,172,2.0,False,TO_RENOVATE
10641068,HOUSE,VILLA,Bruxelles,650000,residential_sale,4,36,SEMI_EQUIPPED,False,False,True,32.0,True,300.0,270,713,4.0,False,TO_RENOVATE
10648910,HOUSE,EXCEPTIONAL_PROPERTY,Ronse,525000,residential_sale,4,0,HYPER_EQUIPPED,False,False,True,40.0,True,5260.0,196,195,4.0,False,GOOD
10616652,HOUSE,HOUSE,Ellezelles,429000,residential_sale,3,22,INSTALLED,False,False,True,20.0,True,1030.0,157,1760,4.0,False,GOOD
10403536,HOUSE,HOUSE,Liege,189000,residential_sale,3,37,INSTALLED,False,False,True,20.0,,,175,82,3.0,False,JUST_RENOVATED
10633471,HOUSE,HOUSE,Ronse,169900,residential_sale,1,20,INSTALLED,False,False,True,3.0,,,72,40,2.0,False,TO_RENOVATE
10659977,HOUSE,HOUSE,Uccle,875000,residential_sale,5,42,,False,False,True,40.0,True,1000.0,315,1500,4.0,False,TO_BE_DONE_UP
10653112,HOUSE,HOUSE,Woluwe-Saint-Pierre,1030000,residential_sale,4,35,USA_INSTALLED,False,False,True,,True,311.0,187,388,3.0,False,AS_NEW
10643523,HOUSE,HOUSE,Faimes,315000,residential_sale,4,38,NOT_INSTALLED,,True,,,True,610.0,205,760,4.0,,GOOD
10638940,HOUSE,MANSION,Antwerp,1089000,residential_sale,8,34,INSTALLED,False,False,,,True,36.0,360,173,2.0,False,GOOD
10576147,HOUSE,HOUSE,Ronse,265000,residential_sale,4,0,INSTALLED,False,False,True,20.0,True,82.0,168,182,2.0,False,JUST_RENOVATED
10592657,HOUSE,HOUSE,Wezembeek-Oppem,349000,residential_sale,3,20,INSTALLED,False,False,True,14.0,True,60.0,80,170,3.0,False,TO_BE_DONE_UP
10451128,HOUSE,HOUSE,Woluwe-Saint-Pierre,430000,residential_sale,3,30,NOT_INSTALLED,False,False,True,10.0,True,80.0,105,175,2.0,False,TO_RENOVATE
10654309,HOUSE,EXCEPTIONAL_PROPERTY,Anderlecht,960000,residential_sale,6,70,USA_HYPER_EQUIPPED,False,False,True,40.0,True,290.0,353,1090,3.0,False,AS_NEW
10633440,HOUSE,HOUSE,Gent,335000,residential_sale,3,21,USA_SEMI_EQUIPPED,False,False,,,True,8.0,154,55,2.0,False,TO_BE_DONE_UP
10423280,HOUSE,HOUSE,Herstal,189000,residential_sale,2,30,INSTALLED,False,False,True,,True,37.0,118,129,2.0,False,GOOD
10651498,HOUSE,HOUSE,Mechelen,169000,residential_sale,2,16,USA_INSTALLED,False,False,,,,,58,32,2.0,False,TO_RENOVATE
10653822,HOUSE,MANSION,Bruxelles,1950000,residential_sale,6,0,SEMI_EQUIPPED,False,False,True,24.0,True,40.0,497,242,2.0,False,GOOD
10647648,HOUSE,HOUSE,Waregem,349000,residential_sale,3,0,INSTALLED,,True,True,,,,171,841,3.0,,GOOD
10644046,HOUSE,HOUSE,Sombreffe,590000,residential_sale,4,45,USA_INSTALLED,,True,True,50.0,True,1700.0,476,2868,4.0,,AS_NEW
10648645,HOUSE,HOUSE,Watermael-Boitsfort,1295000,residential_sale,4,57,HYPER_EQUIPPED,False,False,True,22.0,True,165.0,249,245,2.0,False,AS_NEW
10570109,HOUSE,HOUSE,Wezembeek-Oppem,349000,residential_sale,3,20,INSTALLED,False,False,True,28.0,True,60.0,80,170,3.0,False,TO_BE_DONE_UP
10607010,HOUSE,MIXED_USE_BUILDING,Willebroek,197000,residential_sale,4,30,SEMI_EQUIPPED,,True,,,,,80,350,2.0,,TO_RENOVATE
10651255,HOUSE,HOUSE,Ronse,299000,residential_sale,4,41,USA_HYPER_EQUIPPED,False,False,True,30.0,True,83.0,200,207,2.0,False,GOOD
10459787,HOUSE,HOUSE,Seraing,269000,residential_sale,3,14,HYPER_EQUIPPED,False,False,True,15.0,True,120.0,110,231,3.0,True,GOOD
10633290,HOUSE,HOUSE,Aalst,349000,residential_sale,4,27,HYPER_EQUIPPED,,False,True,,,,175,527,2.0,False,GOOD
10541145,HOUSE,HOUSE,Crisnee,435000,residential_sale,5,11,INSTALLED,False,False,True,86.0,True,1500.0,160,2000,3.0,False,AS_NEW
10646733,HOUSE,HOUSE,Kraainem,469000,residential_sale,3,0,HYPER_EQUIPPED,False,False,,,,,115,183,2.0,False,GOOD
10547250,HOUSE,HOUSE,Anderlecht,380000,residential_sale,1,0,USA_INSTALLED,False,False,True,14.0,True,85.0,180,227,2.0,False,TO_BE_DONE_UP
10649196,HOUSE,HOUSE,AMPSIN,449500,residential_sale,4,57,INSTALLED,,True,True,,True,,230,1086,4.0,,AS_NEW
10660390,HOUSE,HOUSE,Wavre Limal,585000,residential_sale,3,49,INSTALLED,False,False,True,39.0,True,1400.0,390,1685,4.0,False,TO_RENOVATE
10640447,HOUSE,HOUSE,De Panne,399000,residential_sale,3,0,NOT_INSTALLED,,True,True,30.0,,,206,1494,,,TO_RESTORE
10623417,HOUSE,MIXED_USE_BUILDING,Antwerp,349000,residential_sale,3,36,INSTALLED,,True,True,9.0,True,23.0,181,122,2.0,,GOOD
9737379,HOUSE,MIXED_USE_BUILDING,Liege,199000,residential_sale,2,30,USA_SEMI_EQUIPPED,False,False,True,56.0,True,100.0,191,305,3.0,False,GOOD
10652377,HOUSE,HOUSE,Huy,320000,residential_sale,3,0,SEMI_EQUIPPED,,True,True,10.0,True,,180,1297,4.0,,TO_RENOVATE
10623446,HOUSE,HOUSE,Bornem,438000,residential_sale,5,76,SEMI_EQUIPPED,,True,True,30.0,True,,415,848,3.0,,TO_BE_DONE_UP
10415244,HOUSE,MIXED_USE_BUILDING,Ronse,269000,residential_sale,5,0,INSTALLED,False,False,True,45.0,True,555.0,302,1195,4.0,False,TO_RENOVATE
10645911,HOUSE,EXCEPTIONAL_PROPERTY,Mechelen,775000,residential_sale,4,27,USA_HYPER_EQUIPPED,,False,True,,,,300,452,3.0,False,AS_NEW
10646830,HOUSE,HOUSE,Seraing,149000,residential_sale,2,29,SEMI_EQUIPPED,False,False,True,13.0,True,54.0,110,185,2.0,False,GOOD
10649968,HOUSE,VILLA,Gent Zwijnaarde,799000,residential_sale,5,0,INSTALLED,False,False,True,,,,341,1249,4.0,True,TO_BE_DONE_UP
10645675,HOUSE,VILLA,Lede,995000,residential_sale,6,43,INSTALLED,,False,True,,,,350,2384,4.0,False,AS_NEW
10660391,HOUSE,HOUSE,Rixensart,585000,residential_sale,3,49,INSTALLED,False,False,True,39.0,True,1400.0,390,1685,4.0,False,TO_RENOVATE
10561076,HOUSE,VILLA,Andenne,440000,residential_sale,3,54,INSTALLED,False,False,True,30.0,True,515.0,195,870,4.0,False,AS_NEW
10651269,HOUSE,APARTMENT_BLOCK,La Louvière Haine-Saint-Pierre,325000,residential_sale,0,0,SEMI_EQUIPPED,False,False,True,,,,203,400,2.0,False,GOOD
10619504,HOUSE,HOUSE,Libramont-Chevigny,269900,residential_sale,5,22,NOT_INSTALLED,False,False,True,30.0,True,1000.0,140,1152,4.0,False,GOOD
10646845,HOUSE,HOUSE,Wezembeek-Oppem,965000,residential_sale,4,49,INSTALLED,,True,True,31.0,True,350.0,214,575,3.0,,JUST_RENOVATED
10623419,HOUSE,HOUSE,Antwerp,349000,residential_sale,3,36,INSTALLED,,True,True,9.0,True,23.0,181,122,2.0,,GOOD
10494453,HOUSE,APARTMENT_BLOCK,Herstal,199000,residential_sale,4,35,SEMI_EQUIPPED,False,False,True,54.0,True,140.0,231,251,3.0,False,TO_BE_DONE_UP
10653858,HOUSE,HOUSE,Trooz,79000,residential_sale,3,27,NOT_INSTALLED,False,False,,,,,125,64,2.0,False,TO_RENOVATE
10655075,HOUSE,HOUSE,Tenneville,295000,residential_sale,2,0,,False,False,,,,,188,1303,3.0,False,JUST_RENOVATED
10433255,HOUSE,HOUSE,Tielt-Winge,442000,residential_sale,5,35,INSTALLED,False,False,,,True,1800.0,182,4191,4.0,False,TO_RENOVATE
10645838,HOUSE,HOUSE,Ronse,179000,residential_sale,3,0,INSTALLED,False,False,,,True,17.0,117,80,2.0,False,JUST_RENOVATED
10661696,HOUSE,VILLA,Waregem,695000,residential_sale,3,0,SEMI_EQUIPPED,,True,True,,,,295,1500,4.0,,TO_BE_DONE_UP
10455439,HOUSE,APARTMENT_BLOCK,Liege,274000,residential_sale,1,19,NOT_INSTALLED,False,False,,,,,169,44,2.0,False,TO_BE_DONE_UP
10645669,HOUSE,HOUSE,Woluwe-Saint-Pierre,1650000,residential_sale,8,42,HYPER_EQUIPPED,False,False,True,123.0,True,400.0,460,818,2.0,False,GOOD
10599714,HOUSE,HOUSE,Herstal,209000,residential_sale,2,16,INSTALLED,False,False,True,53.0,True,60.0,124,220,3.0,False,GOOD
10654945,HOUSE,HOUSE,Gent,285000,residential_sale,3,0,SEMI_EQUIPPED,,True,,,True,4.0,110,54,2.0,,TO_RESTORE
10547658,HOUSE,HOUSE,Liege,365000,residential_sale,3,32,INSTALLED,False,False,True,326.0,True,163.0,223,352,3.0,False,GOOD
10529382,HOUSE,HOUSE,Vielsalm,180000,residential_sale,2,36,SEMI_EQUIPPED,False,False,True,20.0,True,409.0,117,504,3.0,False,TO_BE_DONE_UP
10582696,HOUSE,HOUSE,Liedekerke,447000,residential_sale,3,36,HYPER_EQUIPPED,False,False,True,,,,178,487,2.0,False,AS_NEW
10659738,HOUSE,COUNTRY_COTTAGE,Bassevelde,695000,residential_sale,4,0,INSTALLED,False,True,,,True,350.0,296,23417,4.0,False,TO_RENOVATE
10652903,HOUSE,HOUSE,Kortrijk,385000,residential_sale,2,0,INSTALLED,,True,True,,,,150,278,2.0,,AS_NEW
10572509,HOUSE,HOUSE,Wortegem-Petegem,274000,residential_sale,4,11,HYPER_EQUIPPED,False,False,True,25.0,True,180.0,145,270,2.0,False,GOOD
10506906,HOUSE,HOUSE,Oupeye,209000,residential_sale,2,28,INSTALLED,False,False,True,15.0,True,75.0,143,275,3.0,False,GOOD
10655492,HOUSE,VILLA,Hoogstraten,495000,residential_sale,3,40,,,False,,,True,415.0,179,775,4.0,,GOOD
10536031,HOUSE,HOUSE,Verlaine,369000,residential_sale,3,62,INSTALLED,,True,True,17.0,True,589.0,212,791,3.0,,GOOD
10605021,HOUSE,HOUSE,Ternat,279000,residential_sale,3,20,NOT_INSTALLED,False,False,True,,,,122,205,3.0,False,TO_RENOVATE
10659995,HOUSE,HOUSE,Woluwe-Saint-Pierre,795000,residential_sale,4,42,,False,False,True,10.0,True,61.0,282,160,2.0,False,AS_NEW
10647031,HOUSE,APARTMENT_BLOCK,Ronse,349900,residential_sale,5,27,INSTALLED,False,False,,,True,18.0,226,151,2.0,False,AS_NEW
